Name,Count_-2_pre,Count_-6_pre,Count_-2_2,Count_-6_2,Count_-2_4,Count_-6_4,Count_-2_6,Count_-6_6,Count_-2_8,Count_-6_8,Count_-2_10,Count_-6_10,Mean_-2_pre,Mean_-6_pre,Mean_-2_2,Mean_-6_2,Mean_-2_4,Mean_-6_4,Mean_-2_6,Mean_-6_6,Mean_-2_8,Mean_-6_8,Mean_-2_10,Mean_-6_10,P_value_A_-2_pre_vs_-6_pre,P_value_A_-2_2_vs_-6_2,P_value_A_-2_4_vs_-6_4,P_value_A_-2_6_vs_-6_6,P_value_A_-2_8_vs_-6_8,P_value_A_-2_10_vs_-6_10,Flag_A_-2_pre_vs_-6_pre,Flag_A_-2_2_vs_-6_2,Flag_A_-2_4_vs_-6_4,Flag_A_-2_6_vs_-6_6,Flag_A_-2_8_vs_-6_8,Flag_A_-2_10_vs_-6_10
(±)13-HODE,3,3,3,3,2,3,3,3,3,3,3,3,24.1655070461053,25.5416119981332,24.3470008444494,24.9339459499712,24.8474335012919,24.6400815022798,23.4896997362118,24.9273055730349,24.1419006252511,24.0997692038887,24.1630955053861,25.0006591014711,2.1932600102339e-05,0.0333892177969188,0.481782077156341,1.22672614691627e-05,0.872381500692449,0.00371038584348651,-1,-1,0,-1,0,-1
10,11-dihydroxy-1,2,6a,6b,9,9,12a-heptamethyl-1,3,4,5,6,6a,6b,7,8,8a,9,10,11,12,12a,12b,13,14b-octadecahydropicene-4a(2H)-carboxylic acid,3,3,3,3,2,3,3,3,3,3,3,3,26.5753565381703,26.6190254590805,26.735946306115,26.355505470871,26.8060751673489,26.6489423111039,25.6185212542581,26.3820974662593,26.5983721609057,26.7126518486954,26.6464122879194,26.4694263696556,0.93281557581539,0.465286240601928,0.78629804014096,0.149730691119247,0.825469475703626,0.732909183536109,0,0,0,0,0,0
18-?-Glycyrrhetinic acid,3,3,3,3,2,3,3,3,3,3,3,3,25.6462909349839,25.8214684807677,26.0576372998141,25.98816668397,26.1915421156516,25.4947236906514,25.7072022339307,26.0375803530669,25.8865494942543,25.9544115189629,26.0865814558254,25.7435538186738,0.668244084751709,0.864816494516369,0.136106426806422,0.421337273069026,0.867915653662054,0.404038921487725,0,0,0,0,0,0
3,21,23-Trihydroxyolean-12-en-28-oic acid,3,3,3,3,2,3,3,3,3,3,3,3,26.0641929630713,26.2498099483007,26.5052869612393,26.6412064833372,26.575727121845,26.0822710074857,26.4104600916257,26.5165655059613,26.6927661473163,26.4612316449979,26.3954834993003,26.3153221995318,0.559846574473534,0.66886856032731,0.17283814890605,0.738267642808669,0.467960833310677,0.800593819829583,0,0,0,0,0,0
3-Acetoxylanosta-8,24-dien-21-oic acid,3,3,3,3,2,3,3,3,3,3,3,3,19.6075002846389,21.0523232050147,20.8577403864122,19.8024288475205,21.0670614715618,20.8061972066126,19.5650461687037,20.7321762842041,19.8575390403185,21.7405288014105,21.2147222116861,20.2794302555404,0.106191817961048,0.231792471078652,0.788391393345349,0.187531893634701,0.0388066556923844,0.287641367639319,0,0,0,0,-1,0
8Z,11Z,14Z-Eicosatrienoic acid,3,3,3,3,2,3,3,3,3,3,3,3,20.363934965931,22.2606972378295,22.1599151253873,21.5693806871847,21.8520720899066,21.2199881763339,20.3952441229496,20.797897287704,20.7320424241646,21.0714830081816,20.3552407362174,21.5214966261975,0.00661673155082357,0.362337332070776,0.382805616847386,0.532526679029842,0.598317186557791,0.0793998746856604,-1,0,0,0,0,0
9-hydroxy-5b,8,8,11a-tetramethyl-1-(prop-1-en-2-yl)octadecahydro-1H-cyclopenta[a]chrysene-3a,5a-dicarboxylic acid,3,3,3,3,2,3,3,3,3,3,3,3,25.5941540309129,25.5909460774541,26.0250505374225,26.0218425839636,25.8366849973723,25.8334770439134,26.0930814632388,26.08987350978,25.9728122456324,25.9696042921736,25.8828559630184,25.8796480095595,0.993216197230327,0.993216197230312,0.993932366752776,0.993216197230319,0.993216197230312,0.993216197230319,0,0,0,0,0,0
Arachidonic acid,3,3,3,3,2,3,3,3,3,3,3,3,21.5351826861965,23.3162069571739,22.6723504120283,22.7882744183537,22.3235230057223,22.4570696929839,21.4914410509649,21.4312610998027,21.8538200934592,22.0024048559798,21.209698221119,21.8935196861354,0.00987267123747986,0.856333675825482,0.852019551490159,0.925100926584092,0.816540539820358,0.291332862304447,-1,0,0,0,0,0
Armatinol A,3,3,3,3,2,3,3,3,3,3,3,3,23.2230702536939,21.362284450164,22.2738325132041,23.6434184564558,21.8971505705656,22.0971589131008,22.7262051549273,23.7404612679828,22.752156621327,22.3548324643985,22.656723201731,22.4149188297734,0.10227964397237,0.22295753060242,0.871470970945774,0.363257244587503,0.719646854583442,0.826934409375258,0,0,0,0,0,0
Citrulline,3,3,3,3,2,3,3,3,3,3,3,3,20.6327375485532,21.5998434348443,20.9839626889185,21.2796738705753,22.4246735094703,21.6417291467776,21.1053745488211,22.0690826416036,21.3672687461024,21.2281745482193,20.8079994693846,21.2267235109441,0.0168853004255591,0.438906043162262,0.0749292523596692,0.0172294926266036,0.714386096346704,0.276199040291906,-1,0,0,-1,0,0
DL-Glutamic acid,3,3,3,3,2,3,3,3,3,3,3,3,24.9664320439851,24.791542257107,23.8753237244115,23.5741939270769,25.5181657701257,24.5370107658586,23.9531692654775,24.9348052370414,24.4332344260012,24.6616946805202,24.7113167741503,24.9199445632448,0.711843007889906,0.525989137567514,0.0733196895377469,0.046982338831218,0.629795403863869,0.659677119869483,0,0,0,-1,0,0
DL-Valine,3,3,3,3,2,3,3,3,3,3,3,3,23.0305551652478,24.0913295637492,23.0077158304564,23.6789248854383,24.6550913703013,23.4952638479857,22.3338502595927,24.2783825690117,22.002575536916,23.0116497609042,22.5236550082052,22.2207208832898,0.0410328439688154,0.183997622542734,0.0452908393110853,0.000608781102170141,0.050971245705315,0.542521837125489,-1,0,1,-1,0,0
gamma-Linolenic Acid,3,3,3,3,2,3,3,3,3,3,3,3,24.1655070461053,25.5416119981332,24.3470008444494,24.9339459499712,24.8474335012919,24.6400815022798,23.4896997362118,24.9273055730349,24.1419006252511,24.0997692038887,24.1630955053861,25.0006591014711,2.1932600102339e-05,0.0333892177969188,0.481782077156341,1.22672614691627e-05,0.872381500692449,0.00371038584348651,-1,-1,0,-1,0,-1
Myristyl sulfate,3,3,3,3,2,3,3,3,3,3,3,3,27.8474955649726,28.6255506936759,27.5312353050539,28.6335421620111,28.4767863328622,26.1123833301418,28.1768598046272,27.3568414339801,26.6633912218433,27.4313785272345,28.4169371757198,27.1184505707228,0.559605309367522,0.410238329310919,0.121221686215384,0.538793094211346,0.564659814124096,0.333417400667508,0,0,0,0,0,0
N-Methyl-D-Aspartic acid,3,3,3,3,2,3,3,3,3,3,3,3,24.8437434324676,24.8173168615286,24.0286297128081,23.9076606427968,25.5219017698568,24.3143664567563,24.0410136974265,24.7778215677453,24.5004138721394,24.506003460826,24.4352228663237,24.7679243672201,0.946518283416549,0.759028817964129,0.0108537543499605,0.0713148561857542,0.988679227476943,0.402032290625958,0,0,1,0,0,0
